bertz,whitlock,barone,smcm,mw_bins,percentile
257.0,14.0,234.0,21.7,150.0,99
394.0,17.0,309.0,28.8,200.0,99
525.0,20.0,384.0,35.0,250.0,99
679.0,23.0,462.0,40.2,300.0,99
864.0,26.0,540.0,44.0,350.0,99
1036.0,30.0,619.0,48.8,400.0,99
1261.0,34.0,717.0,54.9,450.0,99
1435.0,38.0,794.0,60.5,500.0,99
1573.0,41.0,866.0,67.0,550.0,99
1826.0,51.0,1002.0,81.7,600.0,99
2051.0,67.0,1174.0,107.6,inf,99
390.0,19.0,281.0,21.7,150.0,999
520.0,22.0,360.0,33.7,200.0,999
673.0,25.0,438.0,40.1,250.0,999
845.0,28.0,522.0,46.2,300.0,999
1043.0,32.0,607.0,49.5,350.0,999
1230.0,36.0,695.0,55.2,400.0,999
1456.0,42.0,795.0,63.5,450.0,999
1644.0,47.0,884.0,70.0,500.0,999
1784.0,51.0,968.0,81.3,550.0,999
2052.0,64.0,1085.0,100.7,600.0,999
2540.0,81.0,1408.0,128.9,inf,999
487.0,32.0,418.0,36.0,150.0,max
782.0,46.0,566.0,50.8,200.0,max
1078.0,52.0,702.0,60.1,250.0,max
1358.0,59.0,822.0,68.1,300.0,max
1675.0,61.0,1152.0,79.4,350.0,max
1957.0,64.0,995.0,68.3,400.0,max
2417.0,76.0,2250.0,96.9,450.0,max
2654.0,70.0,1500.0,100.1,500.0,max
2675.0,80.0,3636.0,109.8,550.0,max
2714.0,78.0,1445.0,119.2,600.0,max
3210.0,100.0,4668.0,156.1,inf,max
